,eth_PriceUSD,eth_AdrActCnt,eth_BlkCnt,eth_BlkSizeByte,eth_BlkSizeMeanByte,eth_DiffMean,eth_FeeMeanNtv,eth_FeeMedNtv,eth_FeeTotNtv,eth_TxCnt,eth_TxTfr,eth_TxTfrValMeanNtv,eth_TxTfrValMedNtv,eth_TxTfrValNtv
2018-01-25,1044.7858167738166,410985.0,5910.0,139895349.0,23670.9558375635,2507603398357880.0,0.00134234643313321,0.000750275000030011,1058.4602977224276,788515.0,518879.0,8.48725512344368,0.29,4403858.451197335
2018-01-26,1040.847313851549,480908.0,5910.0,154005909.0,26058.5294416244,2500852549456740.0,0.00100559025459176,0.00042,958.7589108507243,953429.0,706842.0,14.723592570865,0.59,10407253.619975327
2018-01-27,1097.3761718293395,424637.0,6004.0,134787950.0,22449.6918720853,2485341103631210.0,0.000981336334835141,0.00042,816.4639798950302,831992.0,600916.0,10.9886146787357,0.43216667,6603234.37828716
2018-01-28,1225.5019491525422,448123.0,6017.0,145593619.0,24197.0448728602,2500393505475140.0,0.00099855967969759,0.00042,887.8234054607257,889104.0,638633.0,11.8612382320692,0.31917,7574978.155861061
2018-01-29,1166.1105324371715,479352.0,5925.0,149592868.0,25247.7414345992,2591381744171950.0,0.00136104818714943,0.000756,1275.0911888927399,936845.0,690630.0,12.0970278432354,0.360674,8354570.33937369
2018-01-30,1057.0593971361777,466227.0,5867.0,147989847.0,25224.1089142662,2596249976684850.0,0.00117207901009407,0.000462,1062.5810448146767,906578.0,663037.0,13.3625995232037,0.4683599,8859897.900066394
2018-01-31,1099.7847568673287,461713.0,5883.0,146496997.0,24901.7502974673,2626764506743550.0,0.00121813265095828,0.000462,1068.6482845637113,877284.0,664167.0,13.0615448441032,0.36480134,8675047.054473514
2018-02-01,1022.3726309175922,501671.0,5778.0,152120496.0,26327.5347871236,2666119494491560.0,0.001537289357685,0.000945,1550.7544751713115,1008759.0,813273.0,10.7834704920941,0.31,8769905.39751681
2018-02-02,916.6270561075395,499746.0,5865.0,153579773.0,26185.8095481671,2711469932429370.0,0.00122556939957173,0.000735,1202.4465817111275,981133.0,756640.0,15.4603958599967,0.589797269221164,11697953.923507923
2018-02-03,962.6316203974284,433090.0,5973.0,134941690.0,22591.9454210614,2765665325443520.0,0.00108949470032631,0.000591875,887.3781804898344,814486.0,593478.0,11.0565034510275,0.318122685,6561791.555108871
2018-02-04,836.867250730567,425727.0,5960.0,135541047.0,22741.786409396,2759422494059560.0,0.00105480888074508,0.000460898022522608,844.7711171776034,800876.0,559888.0,9.75208478696898,0.335328755,5460075.24720649
2018-02-05,694.5995184102865,457677.0,6025.0,145656149.0,24175.294439834,2786247295084370.0,0.000997087097766116,0.00042,873.2099938307199,875761.0,652111.0,11.884544614359,0.41574818,7750042.273014241
2018-02-06,788.0758173582702,452196.0,5926.0,147759517.0,24934.1068174148,2787076910491230.0,0.00104216608272765,0.000462,925.6717158379186,888219.0,662547.0,14.1161371227908,0.58188101,9352604.30229367
2018-02-07,755.1969450613675,418269.0,5913.0,135830781.0,22971.5509893455,2837217537152580.0,0.00103904939475271,0.000525,850.5918107804252,818625.0,601122.0,12.143364446028,0.346,7299643.522525246
